"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1","1","0.1u","","","","","~"
"C2,C3,C4","3","4.7u","","","","","~"
"D1,D2","2","LED","","","","","~"
"J1","1","Conn_02x16_Odd_Even","","","","","~"
"Q1","1","MMBT5551L","","","","Package_TO_SOT_SMD:SOT-23","www.onsemi.com/pub/Collateral/MMBT5550LT1-D.PDF"
"R1","1","200m","","","","","~"
"R2","1","75k","","","","","~"
"R3","1","4k3","","","","","~"
"R4","1","150R","","","","","~"
"R5,R7,R10","3","10k","","","","","~"
"R6","1","1k5","","","","","~"
"R8,R9,R11,R12,R13","5","1k","","","","","~"
"TP1,TP2,TP3,TP4,TP5,TP6","6","TestPoint","","","","","~"
"U2","1","HUSB237-AA001-DN06R","","","","Package_DFN_QFN:DFN-6-1EP_2x2mm_P0.65mm_EP1.01x1.7mm","kicad-embed://HUSB237.pdf"
"U3","1","BQ24074RGT","","","","Package_DFN_QFN:VQFN-16-1EP_3x3mm_P0.5mm_EP1.6x1.6mm","http://www.ti.com/lit/ds/symlink/bq24074.pdf"
"U4","1","INA219AxDCN SOT-23","","","","Package_TO_SOT_SMD:SOT-23-8","http://www.ti.com/lit/ds/symlink/ina219.pdf"
"USBC1","1","~","","","","Connector_USB:USB_C_Receptacle_HRO_TYPE-C-31-M-12","https://atta.szlcsc.com/upload/public/pdf/source/20220525/466408E853115E789EDB0DDC29077C05.pdf"
